x,y,
1.67E+12,2.764236111,11/10/2022 0:30
1.67E+12,2.775,11/10/2022 1:00
1.67E+12,2.789409722,11/10/2022 1:30
1.67E+12,2.810590278,11/10/2022 2:00
1.67E+12,2.837152778,11/10/2022 2:30
1.67E+12,2.849131944,11/10/2022 3:00
1.67E+12,2.854340278,11/10/2022 3:30
1.67E+12,2.871875,11/10/2022 4:00
1.67E+12,2.876388889,11/10/2022 4:30
1.67E+12,2.882638889,11/10/2022 5:00
1.67E+12,2.898090278,11/10/2022 5:30
1.67E+12,2.907638889,11/10/2022 6:00
1.67E+12,2.924479167,11/10/2022 6:30
1.67E+12,2.939236111,11/10/2022 7:00
1.67E+12,2.941493056,11/10/2022 7:30
1.67E+12,2.959201389,11/10/2022 8:00
1.67E+12,2.974131944,11/10/2022 8:30
1.67E+12,2.989236111,11/10/2022 9:00
1.67E+12,2.997222222,11/10/2022 9:30
1.67E+12,3.009895833,11/10/2022 10:00
1.67E+12,3.021354167,11/10/2022 10:30
1.67E+12,3.025520833,11/10/2022 11:00
1.67E+12,3.035763889,11/10/2022 11:30
1.67E+12,3.039409722,11/10/2022 12:00
1.67E+12,3.042361111,11/10/2022 12:30
1.67E+12,3.048958333,11/10/2022 13:00
1.67E+12,3.055381944,11/10/2022 13:30
1.67E+12,3.056597222,11/10/2022 14:00
1.67E+12,3.067361111,11/10/2022 14:30
1.67E+12,3.070138889,11/10/2022 15:00
1.67E+12,3.072743056,11/10/2022 15:30
1.67E+12,3.074652778,11/10/2022 16:00
1.67E+12,3.075173611,11/10/2022 16:30
1.67E+12,3.072222222,11/10/2022 17:00
1.67E+12,3.070138889,11/10/2022 17:30
1.67E+12,3.072743056,11/10/2022 18:00
1.67E+12,3.071701389,11/10/2022 18:30
1.67E+12,3.072916667,11/10/2022 19:00
1.67E+12,3.072916667,11/10/2022 19:30
1.67E+12,3.069270833,11/10/2022 20:00
1.67E+12,3.0734375,11/10/2022 20:30
1.67E+12,3.078472222,11/10/2022 21:00
1.67E+12,3.074826389,11/10/2022 21:30
1.67E+12,3.078819444,11/10/2022 22:00
1.67E+12,3.086805556,11/10/2022 22:30
1.67E+12,3.089756944,11/10/2022 23:00
1.67E+12,3.089756944,11/10/2022 23:30
1.67E+12,3.084895833,12/10/2022 0:00
1.67E+12,3.099479167,12/10/2022 0:30
1.67E+12,3.0953125,12/10/2022 1:00
1.67E+12,3.1046875,12/10/2022 1:30
1.67E+12,3.107465278,12/10/2022 2:00
1.67E+12,3.106423611,12/10/2022 2:30
1.67E+12,3.106076389,12/10/2022 3:00
1.67E+12,3.112326389,12/10/2022 3:30
1.67E+12,3.106076389,12/10/2022 4:00
1.67E+12,3.103819444,12/10/2022 4:30
1.67E+12,3.100868056,12/10/2022 5:00
